GEO.id2,HD01_VD10,,,,,,,,
Id2,1,2,3,4,5,6,7,total hhsize,total hh num
360050001000 ,0,0,0,0,0,0,0,0,0
360050001001 ,0,0,0,0,0,0,0,0,7503
360050002000 ,0,0,0,0,0,0,0,0,0
360050002001 ,71,33,192,52,40,63,47,498,2114
360050002002 ,89,131,51,76,33,10,108,498,2168
360050002003 ,54,166,37,34,0,20,24,335,969
360050004000 ,0,0,0,0,0,0,0,0,0
360050004001 ,68,84,68,0,31,0,0,251,646
360050004002 ,41,177,79,96,55,0,0,448,1400
360050004003 ,162,305,262,174,83,43,16,1045,3393
360050004004 ,19,56,52,55,0,0,0,182,541
360050016001 ,230,336,175,215,78,31,40,1105,3427
360050016002 ,59,113,7,29,37,0,0,245,662
360050016003 ,149,38,50,16,0,0,0,253,466
360050016004 ,49,48,92,97,56,25,0,367,1501
360050019000 ,0,0,0,0,0,0,0,0,0
360050019001 ,252,232,87,115,35,8,0,729,1737
360050019002 ,0,11,0,0,10,0,0,21,76
360050019003 ,142,35,10,25,0,0,0,212,869
360050019004 ,0,0,0,0,0,0,0,0,0
360050019005 ,0,0,0,0,0,0,0,0,0
360050020001 ,40,151,52,42,59,0,17,361,1267
360050020002 ,319,82,144,99,38,25,0,707,1794
360050020003 ,248,127,246,110,140,44,16,931,3073
360050020004 ,147,12,110,157,14,0,0,440,1308
360050020005 ,59,67,40,0,0,5,12,183,482
360050020006 ,120,29,96,130,0,0,11,386,1207
360050023001 ,346,217,179,177,56,10,7,992,2560
360050023002 ,133,28,56,0,0,0,25,242,547
360050023003 ,266,257,78,64,47,14,0,726,1717
360050024000 ,0,0,0,0,0,0,0,0,0
360050024001 ,0,0,0,26,0,0,0,26,123
360050025001 ,85,65,94,24,109,0,0,377,1177
360050025002 ,149,151,90,36,20,0,0,446,1038
360050025003 ,132,109,111,46,75,0,19,492,1470
360050025004 ,34,37,89,19,21,11,88,299,1385
360050025005 ,53,78,31,16,7,18,0,203,581
360050027011 ,168,119,97,66,68,0,0,518,1364
360050027012 ,141,158,103,74,15,55,12,558,1670
360050027021 ,149,116,60,96,7,6,0,434,1079
360050027022 ,27,25,7,33,8,32,0,132,810
360050027023 ,92,70,82,55,94,33,20,446,1570
360050027024 ,66,112,138,70,38,0,0,424,1225
360050028000 ,0,0,0,0,0,0,0,0,0
360050028001 ,56,231,127,38,40,38,0,530,1605
360050028002 ,282,230,179,44,60,0,0,795,1952
360050028003 ,360,201,55,0,0,0,0,616,919
360050028004 ,241,141,35,0,33,0,0,450,874
360050031001 ,144,128,132,44,52,24,35,559,1744
360050033001 ,31,25,38,38,35,6,15,188,724
360050033002 ,74,107,61,101,22,7,41,413,1446
360050033003 ,158,187,88,58,56,0,35,582,1685
360050035001 ,73,80,24,44,16,25,0,262,763
360050035002 ,176,136,104,112,33,9,15,585,1664
360050035003 ,113,109,141,82,15,34,6,500,1508
360050037001 ,86,4,47,8,0,0,0,145,279
360050038001 ,96,110,32,69,65,1,11,384,1246
360050039001 ,156,0,29,51,66,92,0,394,1408
360050039002 ,101,36,90,64,125,72,20,508,2205
360050039003 ,110,95,22,30,23,0,0,280,673
360050039004 ,109,118,87,29,36,0,22,401,1142
360050039005 ,51,111,105,23,0,0,40,330,1059
360050040011 ,132,151,82,59,50,28,4,506,1489
360050041001 ,271,118,79,41,61,87,0,657,1850
360050041002 ,93,173,68,156,113,29,0,632,2264
360050041003 ,0,0,0,0,0,0,0,0,0
360050041004 ,186,260,142,58,109,10,0,765,2094
360050042001 ,58,125,76,49,0,0,0,308,809
360050042002 ,326,118,181,147,64,0,83,919,3202
360050042003 ,220,68,124,60,48,0,17,537,1439
360050042004 ,27,215,134,0,24,0,0,400,1043
360050042005 ,89,76,27,19,0,19,0,230,545
360050042006 ,0,0,0,0,0,0,0,0,0
360050042007 ,100,117,117,20,0,0,0,354,810
360050043001 ,268,58,103,59,96,34,0,618,1775
360050043002 ,225,153,103,132,18,16,13,660,1773
360050043003 ,115,58,66,9,97,0,40,385,1375
360050043004 ,129,95,72,8,57,11,9,381,1098
360050044001 ,144,171,71,0,17,15,14,432,1120
360050044002 ,123,39,20,36,26,0,0,244,611
360050044003 ,95,133,114,69,72,17,22,522,1932
360050044004 ,151,83,110,55,21,17,0,437,1164
360050046001 ,246,136,142,89,0,65,20,698,1976
360050048001 ,148,203,126,99,22,46,7,651,1940
360050048002 ,83,114,174,189,76,9,32,677,2564
360050050011 ,94,223,112,57,27,16,20,549,1619
360050050012 ,137,43,152,73,43,19,0,467,1342
360050050013 ,64,87,75,33,23,0,16,298,1268
360050050014 ,57,61,56,64,22,28,0,288,952
360050050021 ,161,180,110,127,22,0,12,612,1685
360050050022 ,121,185,84,11,12,7,0,420,947
360050050023 ,68,66,118,118,29,46,17,462,1697
360050050024 ,85,49,54,132,19,0,27,366,1358
360050051001 ,73,25,0,45,31,0,0,174,473
360050051002 ,193,307,193,132,71,28,5,929,2649
360050051003 ,207,226,206,168,59,10,5,881,2554
360050052001 ,70,40,62,28,23,0,18,241,758
360050052002 ,162,219,59,121,11,0,19,591,1610
360050053001 ,207,161,131,97,48,0,0,644,1662
360050053002 ,282,216,173,85,21,55,9,841,2204
360050054001 ,28,32,8,96,39,24,6,233,1034
360050054002 ,194,168,93,113,107,27,84,786,2801
360050054003 ,81,16,43,83,46,20,0,289,1031
360050054004 ,103,112,46,116,18,25,19,439,1426
360050056001 ,237,80,56,36,8,15,0,432,895
360050056002 ,15,62,31,25,30,32,9,204,819
360050056003 ,63,58,65,37,27,10,12,272,900
360050059021 ,56,85,56,24,29,0,9,259,743
360050059022 ,316,161,205,55,58,21,0,816,2003
360050060001 ,62,58,92,37,49,28,14,340,1269
360050061001 ,107,161,65,0,0,15,0,348,784
