GEO.id2,HD01_VD10,,,,,,,,HD01_VD01
360850121002 ,42,85,144,33,18,0,27,349,1069
360850121003 ,151,70,92,39,33,21,0,406,1034
360850122001 ,110,131,24,61,55,0,0,381,991
360850122002 ,45,132,52,84,15,0,0,328,878
360850122003 ,43,118,108,13,18,24,4,328,949
360850122004 ,115,117,26,65,20,26,9,378,1040
360850125001 ,26,105,89,125,16,14,17,392,1281
360850125002 ,40,99,54,47,25,17,21,303,991
360850125003 ,80,58,27,62,21,21,0,269,737
360850128040 ,0,0,0,0,0,0,0,0,0
360850128041 ,258,274,283,74,59,76,4,1028,2762
360850128042 ,113,156,79,111,34,0,11,504,1366
360850128050 ,0,0,0,0,0,0,0,0,0
360850128051 ,142,302,179,199,32,57,16,927,2765
360850128060 ,0,0,0,0,0,0,0,0,0
360850128061 ,60,37,90,43,33,0,0,263,749
360850128062 ,120,44,70,95,0,0,0,329,803
360850128063 ,565,148,80,86,27,0,0,906,1574
360850128064 ,127,220,143,173,154,2,0,819,2474
360850132011 ,57,113,27,23,35,6,0,261,669
360850132012 ,70,81,72,66,34,0,0,323,910
360850132031 ,135,220,97,78,28,0,0,558,1323
360850132032 ,99,300,73,299,18,0,0,789,2239
360850132033 ,87,146,208,164,61,15,0,681,2112
360850132041 ,78,125,83,57,84,0,0,427,1232
360850132042 ,147,279,181,90,78,43,16,834,2357
360850132043 ,249,185,35,33,27,0,0,529,990
360850133011 ,176,147,142,60,32,25,0,582,1469
360850133021 ,46,9,67,49,0,0,20,191,649
360850133022 ,45,88,53,36,0,35,14,271,885
360850133023 ,134,59,85,75,31,65,13,462,1493
360850134001 ,123,101,104,119,87,0,0,534,1538
360850134002 ,109,134,77,47,34,6,0,407,1017
360850134003 ,131,204,92,105,11,0,0,543,1299
360850138001 ,70,121,72,33,16,25,0,337,897
360850138002 ,124,154,50,137,17,19,0,501,1349
360850138003 ,160,247,37,113,50,0,25,632,1646
360850138004 ,95,69,212,64,0,15,0,455,1225
360850138005 ,139,184,58,51,12,0,0,444,978
360850141001 ,61,145,68,90,34,28,0,426,1241
360850141002 ,151,87,59,88,25,28,0,438,1118
360850146041 ,115,244,61,75,13,61,32,601,1759
360850146042 ,245,177,130,144,51,20,0,767,1927
360850146043 ,253,204,203,47,109,0,0,816,2034
360850146044 ,93,64,95,122,0,18,0,392,1121
360850146051 ,99,207,72,126,55,26,0,585,1677
360850146052 ,158,252,134,177,48,13,14,796,2210
360850146061 ,29,153,132,202,83,0,18,617,2131
360850146062 ,220,175,185,206,23,0,16,825,2204
360850146063 ,115,173,30,114,74,0,0,506,1407
360850146064 ,33,194,98,156,19,0,0,500,1441
360850146071 ,246,433,205,199,92,9,60,1244,3513
360850146072 ,102,125,126,81,33,0,0,467,1239
360850146081 ,30,183,137,129,92,19,0,590,1906
360850146082 ,61,104,107,205,97,18,6,598,2021
360850147001 ,49,63,46,88,16,0,0,262,758
360850147002 ,179,188,165,158,6,18,0,714,1860
360850147003 ,141,134,32,25,23,10,0,365,792
360850151001 ,269,40,111,108,8,27,39,602,1545
360850151002 ,13,51,58,63,0,21,0,206,680
360850151003 ,46,56,106,44,0,0,33,285,1049
360850151004 ,98,152,36,31,41,0,29,387,1038
360850151005 ,243,72,40,54,0,21,0,430,843
360850154000 ,0,0,0,0,0,0,0,0,0
360850154001 ,0,0,0,0,0,0,0,0,0
360850156011 ,251,219,64,63,59,28,0,684,1642
360850156012 ,68,72,131,32,33,0,0,336,901
360850156013 ,57,250,44,77,56,14,0,498,1359
360850156014 ,36,121,53,95,19,0,0,324,939
360850156015 ,77,107,51,43,28,0,15,321,866
360850156016 ,32,66,75,54,74,0,0,301,970
360850156021 ,58,83,85,86,10,0,0,322,876
360850156022 ,32,94,40,78,14,9,0,267,793
360850156023 ,30,113,36,32,29,0,19,259,772
360850156024 ,22,92,61,75,6,44,0,300,981
360850156030 ,0,0,0,0,0,0,0,0,0
360850156031 ,47,144,134,45,71,10,6,457,1368
360850156032 ,138,275,143,51,18,11,0,636,1476
360850156033 ,77,273,35,169,41,33,0,628,1817
360850169011 ,166,65,107,101,12,0,7,458,1141
360850169012 ,78,188,126,167,104,0,0,663,2001
360850170051 ,127,128,234,174,108,32,12,815,2661
360850170052 ,192,303,140,104,84,34,0,857,2256
360850170071 ,133,185,176,235,28,20,0,777,2272
360850170072 ,151,205,269,247,110,43,10,1035,3199
360850170081 ,118,117,174,392,46,6,13,866,2821
360850170082 ,130,177,235,89,3,80,0,714,2070
360850170083 ,216,229,249,237,38,14,0,983,2669
360850170091 ,8,131,59,103,75,0,0,376,1226
360850170092 ,138,252,116,104,25,0,27,662,1738
360850170093 ,119,175,66,122,81,0,0,563,1562
360850170101 ,90,252,194,259,29,16,0,840,2452
360850170102 ,149,196,139,171,40,36,0,731,2014
360850170103 ,157,360,187,247,57,106,0,1114,3318
360850170104 ,91,140,105,61,11,26,0,434,1141
360850170111 ,190,415,138,200,33,12,13,1001,2611
360850170112 ,179,190,159,143,30,1,9,711,1872
360850170121 ,96,172,152,87,31,8,16,562,1573
360850170122 ,113,202,136,88,20,28,19,606,1689
360850170123 ,63,150,133,92,13,11,0,462,1264
360850173001 ,60,132,93,67,67,38,12,469,1529
360850173002 ,211,197,39,53,12,0,3,515,1057
360850176000 ,0,0,0,0,0,0,0,0,0
360850176001 ,61,203,68,114,32,5,0,483,1317
360850176002 ,51,133,42,41,11,0,0,278,682
360850176003 ,54,123,96,152,9,0,14,448,1381
360850176004 ,42,103,95,117,15,36,12,420,1387
360850177001 ,57,13,24,7,20,13,0,134,365
360850177002 ,109,160,229,94,73,6,0,671,1902
360850177003 ,126,210,155,57,107,16,0,671,1868
360850177004 ,54,181,98,126,65,0,0,524,1515
360850177005 ,70,87,67,34,8,32,0,298,825
360850177006 ,18,31,9,30,0,0,0,88,247
360850181001 ,88,21,0,0,0,0,0,109,446
360850181002 ,159,144,32,265,18,57,4,679,2063
360850181003 ,48,97,58,32,27,0,0,262,687
360850187011 ,54,97,37,64,32,13,5,302,906
360850187012 ,80,91,58,79,15,4,0,327,852
360850187021 ,89,210,225,40,74,0,14,652,2105
360850187022 ,86,149,75,107,0,32,37,486,2023
360850187023 ,168,133,77,109,8,0,0,495,1154
360850187024 ,169,175,124,87,72,11,51,689,2047
360850189011 ,303,329,206,162,16,0,26,1042,2577
360850189012 ,229,336,121,178,94,34,0,992,2665
360850189021 ,54,137,122,16,10,7,8,354,909
360850189022 ,64,261,117,104,34,0,50,630,1946
360850189023 ,145,148,95,228,49,35,27,727,2272
360850197001 ,64,116,60,96,3,18,0,357,980
360850197002 ,72,187,34,39,10,12,1,355,832
360850198000 ,0,0,0,0,0,0,0,0,0
360850198001 ,0,29,0,11,0,0,0,40,99
360850198002 ,204,355,133,268,119,12,0,1091,3036
360850198003 ,54,172,54,45,91,30,0,446,1392
360850198004 ,69,165,222,99,66,21,0,642,2056
360850201001 ,114,129,97,97,45,6,8,496,1409
360850201002 ,93,88,87,84,8,0,11,371,997
360850201003 ,85,187,46,108,11,0,16,453,1206
360850207000 ,0,0,0,0,0,0,0,0,0
360850207001 ,80,116,71,137,81,15,0,500,1575
360850207002 ,103,79,43,69,35,6,0,335,883
360850207003 ,91,43,57,89,60,0,4,344,1086
360850207004 ,197,86,83,102,124,11,43,646,2004
360850208011 ,80,170,96,125,63,26,59,619,2094
360850208012 ,187,354,207,192,51,16,0,1007,2688
360850208013 ,91,307,171,161,38,0,0,768,2086
360850208014 ,218,208,109,214,70,37,0,856,2409
360850208031 ,66,241,188,76,58,0,0,629,1720
360850208032 ,188,240,172,321,91,14,0,1026,2971
360850208033 ,87,247,15,83,60,50,0,542,1580
360850208041 ,97,264,232,182,72,22,0,869,2563
360850208042 ,145,216,113,169,10,38,0,691,1869
360850208043 ,53,112,94,79,39,14,37,428,1417
360850213001 ,73,77,92,0,54,18,18,332,1175
360850213002 ,46,33,4,39,9,75,0,206,821
360850213003 ,78,107,60,89,58,0,0,392,1128
360850213004 ,91,51,27,28,0,32,17,246,792
360850213005 ,90,23,45,88,41,8,0,295,852
360850223000 ,0,0,0,0,0,0,0,0,0
360850223001 ,57,83,131,89,30,0,0,390,1146
360850223002 ,74,88,125,114,65,5,0,471,1395
360850223003 ,0,0,0,0,0,0,0,0,0
360850226000 ,0,0,0,0,0,0,0,0,0
360850226001 ,49,195,7,55,56,0,0,362,973
360850226002 ,181,165,286,122,51,22,20,847,2405
360850226003 ,131,128,299,150,281,69,13,1071,3817
360850226004 ,113,87,64,71,152,5,29,521,1793
360850228000 ,0,0,0,0,0,0,0,0,0
360850228001 ,0,15,4,0,0,0,0,19,41
360850231001 ,147,216,146,214,118,90,56,987,3493
360850231002 ,59,53,52,59,18,32,0,273,843
360850239001 ,87,175,99,133,82,43,33,652,2189
360850239002 ,61,11,76,76,35,72,32,363,1589
360850244010 ,0,0,0,0,0,0,0,0,0
360850244011 ,96,71,157,130,55,18,18,545,1763
360850244012 ,223,122,99,86,219,0,0,749,2210
360850244013 ,160,190,171,186,53,11,21,792,2298
360850244020 ,0,0,0,0,0,0,0,0,0
360850244021 ,228,123,114,232,96,0,0,793,2268
360850244022 ,209,127,92,265,39,27,0,759,2151
