Id2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hh_total,hh_avg_inc
3.6081E+11,322,65,14,73,76,48,61,38,14,137,101,396,295,397,432,1077,3546,130592
3.6081E+11,25,9,36,5,18,14,8,15,17,4,49,27,34,53,16,37,367,65583
3.6081E+11,9,12,9,19,47,19,37,29,11,52,77,114,87,34,44,23,623,73173
3.6081E+11,0,31,10,45,0,5,45,17,0,56,57,69,7,43,19,54,458,66471
3.6081E+11,27,29,36,0,26,44,11,9,28,26,100,34,8,22,18,10,428,50385
3.6081E+11,0,0,38,11,36,22,31,50,22,55,32,39,15,9,35,10,405,49148
3.6081E+11,11,0,23,0,0,28,9,10,4,23,74,30,15,43,32,37,339,69769
3.6081E+11,43,15,10,16,0,0,0,0,0,0,6,6,89,30,21,0,236,106774
3.6081E+11,21,18,0,0,10,0,0,28,25,98,117,115,69,0,9,0,510,72412
3.6081E+11,36,10,27,15,43,40,30,0,0,104,13,117,148,71,24,58,736,81731
3.6081E+11,11,10,32,15,0,16,0,37,0,14,0,13,46,23,71,29,317,106641
3.6081E+11,13,0,15,0,0,0,26,24,14,31,0,84,49,42,14,118,430,104167
3.6081E+11,55,50,0,53,15,18,25,14,0,58,153,128,77,157,315,301,1419,129413
3.6081E+11,6,14,18,29,19,0,15,11,23,20,37,72,24,45,25,60,418,81932
3.6081E+11,68,47,12,20,21,12,30,23,9,6,37,81,102,17,31,0,516,60926
3.6081E+11,0,0,17,34,21,5,27,5,23,38,38,59,20,64,41,11,403,68917
3.6081E+11,34,12,17,31,36,22,48,10,16,22,64,26,66,63,47,21,535,61806
3.6081E+11,9,36,35,15,0,34,32,80,0,15,59,27,9,39,33,34,457,42344
3.6081E+11,39,0,19,37,0,0,0,9,0,65,78,46,25,34,58,0,410,71056
3.6081E+11,27,8,10,8,12,0,9,32,8,17,122,30,75,54,25,26,463,70433
3.6081E+11,0,0,15,0,54,0,34,0,68,65,23,76,36,24,20,0,415,55984
3.6081E+11,0,9,0,9,0,0,0,12,0,43,72,66,24,52,33,28,348,82222
3.6081E+11,31,0,0,29,27,35,8,21,9,0,29,38,38,4,0,36,305,45417
3.6081E+11,38,18,23,17,9,14,101,27,32,12,54,40,21,5,5,28,444,40500
3.6081E+11,5,3,5,2,29,4,13,0,3,28,40,56,49,58,24,16,335,96250
3.6081E+11,15,59,31,22,15,47,23,22,15,19,23,106,38,30,12,39,516,54231
3.6081E+11,5,17,37,18,6,53,5,5,5,34,31,64,39,17,23,23,382,62143
3.6081E+11,30,38,11,22,0,18,23,4,41,66,77,39,144,111,176,205,1005,123250
3.6081E+11,21,15,5,9,5,16,0,15,0,81,39,103,26,68,76,47,526,87115
3.6081E+11,4,6,6,12,28,29,24,10,5,53,11,46,16,53,28,23,354,65000
3.6081E+11,52,24,5,5,15,0,15,5,6,36,23,45,69,38,14,4,356,64286
3.6081E+11,34,5,0,0,4,9,2,25,17,5,34,13,48,27,12,11,246,68125
3.6081E+11,33,20,12,13,41,21,12,15,8,44,29,67,44,17,6,20,402,57167
