2010-2040 Household Income (Held constant in $2010) : Household Income,,
TAZ,HH_Inc,HHNUM
283,38075.883,1454.4
284,33887.679,990.8
285,53602.185,3190.4
286,54501.702,2441.2
287,41384.388,4638.6
288,41431.731,371.4
289,41177.4,771.2
290,43286.916,1387.4
291,46349.898,3703.8
292,39846.291,3549
293,35723.046,2754.8
294,0,1
295,58340.889,2204.4
296,41187.309,3158.4
297,48701.634,2858.6
298,83498.739,3083.4
299,94646.364,1443.2
300,86459.328,1298.4
301,44753.448,3758.6
302,32502.621,2034.6
303,51663.324,3034.4
304,34546.077,2616
305,60287.457,1629.2
306,93680.787,49
307,37441.707,3685.8
308,40432.023,2883.8
309,117391.923,1634.2
310,109423.986,2052.4
311,120099.282,1397.6
312,120099.282,2098.4
313,75878.718,3502.2
314,195419.793,2588
315,72233.307,261.2
316,129663.669,4238.8
317,93046.611,4558.8
318,36553.2,3305.2
319,52865.616,1766.4
320,67068.516,1980
321,77242.857,3301.2
322,70667.685,2238
323,0,0
324,72430.386,2840.8
325,72594.435,1021.8
326,63351.54,1530.6
327,71280.942,2190.6
328,49270.851,4036.8
329,74291.076,2253.2
330,57206.859,2300.6
331,74309.793,385
332,58490.625,1289
333,75845.688,619.8
334,81445.374,1564
335,63472.65,3822.2
336,69890.379,2926.4
337,64434.924,2828.6
338,67677.369,2684.4
339,71210.478,630.8
340,59920.824,1609.4
341,64346.844,5005.2
342,0,3
343,64415.106,2433.8
344,43934.304,1789.6
345,65280.492,2066.8
346,74616.972,2234
347,61288.266,1980
348,49186.074,1876.4
349,56406.432,3554
350,57134.193,395
351,51226.227,1283.8
352,53896.152,1084
353,112896.54,87.6
354,23279.544,3263
355,19811.394,285.4
356,50229.822,1914.6
357,61663.707,2011.4
358,0,2
359,0,40.2
360,67773.156,2543.4
361,42878.445,1927.8
362,105232.479,6493.6
363,81660.069,1126.4
364,0,0
365,36370.434,446.4
366,63548.619,1411.8
367,72225.6,1161
368,53810.274,2688.8
369,65214.432,324.6
370,57209.061,6631.2
371,64657.326,3305.6
372,71966.865,2521.4
373,54424.632,3233
374,68859.843,2447.8
375,64540.62,1139.8
376,68416.14,1208.4
377,82290.942,403.2
378,44626.833,2176.8
379,60113.499,2221.2
380,64254.36,522
381,59036.721,4423.2
382,73664.607,1875.4
383,56294.13,451.6
384,49648.494,224.6
385,0,8.2
386,62681.031,2701.4
387,55658.853,2427.8
388,81929.814,1084
389,77956.305,3288
390,60432.789,4902.6
391,63482.559,5232.6
392,60775.2,4734.2
393,53851.011,4951.8
394,71927.229,3347.4
395,64892.94,977.8
396,61940.058,1468
397,80715.411,1209.4
398,59858.067,2328.4
399,51080.895,1362.8
400,51992.523,2392.6
401,51469.548,1046
402,61366.437,970.6
403,59144.619,736.2
404,67860.135,1374.8
405,46268.424,1710.8
406,53456.853,3142.8
407,0,0
408,55238.271,1475.4
409,46941.135,1993.2
410,51025.845,3641.4
411,59046.63,1577
412,61774.908,1579.4
413,58875.975,2841.2
414,55138.08,2646.4
415,61149.54,1092.2
416,54140.574,2354.6
417,52040.967,1366.6
418,54415.824,1926
419,46987.377,926
420,54836.406,4183.6
421,69832.026,2229.4
422,46183.647,2957.4
423,50786.928,4571
424,57488.715,1612.8
425,64478.964,1559.6
426,56181.828,1577.8
427,66834.003,1861.4
428,62147.046,1573.8
429,48035.529,3029.4
430,51643.506,2647
431,53237.754,4722.2
432,66215.241,850.4
433,63623.487,1996
434,64518.6,1723
435,80146.194,778
436,55206.342,938
437,76025.151,667
438,78881.145,2895
439,62824.161,1930
440,67569.471,462
441,38285.073,389
442,63351.54,1360
443,61966.482,1673
444,51047.865,3257
445,52765.425,4397
446,49931.451,3001
447,47793.309,1624
448,65423.622,2949.8
449,56377.806,2702
450,55531.137,1331
451,45732.237,2288
452,74968.191,3316
453,66484.986,2206
454,77466.36,1141
455,78735.813,1220
456,77858.316,2786
457,76445.733,843
458,79135.476,1659
459,65347.653,1670
460,86995.515,1314
461,77360.664,2745
462,77623.803,359
463,82997.784,789.8
464,75158.664,2135
465,74353.833,1092
466,77736.105,1544
467,59910.915,2395
468,63592.659,1315.4
469,93562.98,2655.4
470,91159.497,4839.2
471,82063.035,3975.4
472,178348.788,1409.2
473,110706.651,2401
474,76198.008,2426.2
475,70196.457,6941
476,87279.573,840.8
477,100424.412,2063
478,90440.544,1224
479,83820.231,1896.6
480,65215.533,1276.2
481,70761.27,4356.8
482,69256.203,5793.2
483,50385.063,1562.4
484,59426.475,960
485,66745.923,2271
486,69571.089,3413
487,92348.577,1307
488,82409.85,3836.2
489,67609.107,1716.4
490,66473.976,2114
491,101729.097,1420.2
492,99931.164,1583.8
493,64629.801,4448
494,121902.72,501.2
495,42543.741,826.6
496,69944.328,821
497,42528.327,2323
498,48571.716,2148.2
499,41154.279,2203.4
500,50156.055,2658.4
501,51369.357,4921
502,55146.888,4470
503,55999.062,3882.6
504,67710.399,1069.6
505,59233.8,1361.8
506,65659.236,2028.6
507,70762.371,790.2
508,71115.792,2053.8
509,65914.668,674
510,77895.75,796.4
511,59092.872,758.2
512,59146.821,2720.6
513,58818.723,2870.2
514,50385.063,1581.8
515,63042.159,1453.2
516,69230.88,2008.6
517,72184.863,1976.4
518,63074.088,1701.2
519,96409.065,1307.6
520,119309.865,1900
521,81599.514,2245.6
522,86625.579,2869.2
523,92749.341,1539.6
524,82410.951,1295.4
525,75416.298,1255.4
526,88909.053,2532.8
527,94331.478,3986
528,0,0
529,91491.999,6951.8
530,91538.241,921.8
531,0,0
532,75430.611,1321.8
533,66261.483,464
534,0,1
535,36134.82,2760.8
536,69912.399,4266
537,86667.417,1172.4
538,84321.186,1752.4
539,64736.598,3775.8
540,81196.548,1166.2
541,66292.311,2184.4
542,71472.516,1172.4
543,62391.468,2725.6
544,77443.239,2489.6
545,62247.237,2110.4
546,68277.414,1625.4
547,73533.588,548.2
548,72688.02,1349.2
549,71105.883,211
550,59851.461,1856.4
551,85825.152,2536.6
552,76827.78,1299.4
553,147608.868,433.2
554,78884.448,2170.4
555,63200.703,1016.2
556,90353.565,2466.6
557,85337.409,1245.2
558,100043.466,435.2
559,103950.915,1317.2
560,138098.43,385
561,126585.273,778.2
562,87019.737,1057.2
563,64952.394,3908
564,0,46
565,72494.244,1906.6
566,76731.993,1916.6
567,70626.948,2327.2
568,81847.239,1183.6
569,60662.898,2772
570,68264.202,1411.6
571,64397.49,3360.4
572,68939.115,4349.4
573,64758.618,1694.8
574,64626.498,3360.4
575,66249.372,660.6
576,60226.902,1801.2
577,58956.348,1760
578,57227.778,2824.2
579,64855.506,1236
580,71100.378,1828
581,62564.325,872.6
582,67991.154,2372.6
583,59871.279,2471.2
584,63299.793,3555.2
585,69305.748,2733.8
586,63865.707,2478.4
587,64840.092,2901.8
588,74983.605,910.4
589,59580.615,798.6
590,73566.618,1147.8
591,64802.658,5329.4
592,113888.541,2664.8
593,86541.903,2833.8
594,69898.086,2782.8
595,62087.592,3114
596,66061.101,1676
597,64456.944,1774
598,66352.866,1349.8
599,71553.99,2208.4
600,71569.404,1894.2
601,80288.223,2395.6
602,78190.818,1019.6
603,78307.524,1010.6
604,73921.14,249.2
605,0,8
606,121442.502,1000.8
607,139012.26,714.6
608,108267.936,1694.2
609,90741.117,895.6
610,96173.451,1421.2
611,84056.946,2121.6
612,89918.67,642.4
613,94145.409,954.6
614,88332.129,1404.2
615,102408.414,108.2
616,57199.152,682.6
617,73018.32,999.8
618,87655.014,1729.4
619,76987.425,788.6
620,96516.963,865.6
621,61352.124,303.2
622,69861.753,1283
623,88289.19,1327
624,58781.289,960.8
625,97701.639,736.6
626,84672.405,1325.2
627,74153.451,1195.8
628,82567.293,3859
629,124029.852,1258.8
630,73486.245,2386
631,77701.974,2365.8
632,0,0
633,0,0
634,118978.464,2749.2
635,90909.57,2563
636,81193.245,2210.8
637,108825.042,1073.8
638,85876.899,1221
639,107978.373,1508.2
640,49484.445,711.2
641,57801.399,706.2
642,60529.677,487.2
643,57570.189,2237
644,48156.639,1724.4
645,45556.077,2060
646,52535.316,2192.4
647,0,14
648,48990.096,2837.2
649,48569.514,1213.6
650,58252.809,1811
651,65459.955,1566.6
652,68099.052,1586.8
653,61670.313,2387
654,73771.404,185
655,74354.934,1308.6
656,78535.431,740.4
657,63373.56,861.4
658,43802.184,1536.8
659,68057.214,1434.8
660,51397.983,1306.6
661,78554.148,1265.6
662,70811.916,1523.8
663,69680.088,2058
664,73074.471,1947.8
665,49202.589,6155
666,65703.276,984.4
667,58729.542,1680.8
668,77172.393,747.4
669,75315.006,3475.8
670,80859.642,385.2
671,80396.121,2550.2
672,79651.845,2557.8
673,76268.472,1654.8
674,56465.886,2376.2
675,48909.723,939.4
676,52637.709,1086.4
677,68444.766,876.4
678,94722.333,689.4
679,48211.689,1530.8
680,78828.297,1844.8
681,67744.53,1567.6
682,98269.755,1234.6
683,46729.743,1426.6
684,47312.172,1465.8
685,88286.988,4803.2
686,88692.156,2861.6
687,79474.584,1339.8
688,84581.022,2460.6
689,94841.241,1478.8
690,76904.85,1532.6
691,64568.145,267
692,81520.242,590
693,80768.259,1980.8
694,69192.345,1016.8
695,56023.284,1815.6
696,88184.595,618.8
697,89440.836,1548.8
698,76103.322,2200.6
699,67577.178,839
700,87034.05,1424.8
701,74455.125,1425.8
702,74836.071,1184.8
703,75918.354,704
704,72896.109,1347.8
705,83822.433,1085.8
706,83601.132,420
707,88760.418,1050.8
708,87084.696,1016.8
709,76560.237,356
710,100640.208,511.8
711,96058.947,970
712,88146.06,704
713,96695.325,779.8
714,92847.33,926.8
715,80803.491,673
716,96720.648,354.8
717,82431.87,1821.8
718,88695.459,1318.8
719,86736.78,781.8
720,78967.023,1249.8
721,72021.915,743.8
722,85192.077,930
723,98105.706,1212.8
724,87770.619,997.8
725,71805.018,1092
726,83756.373,1075.8
727,81636.948,177
728,78184.212,858.8
729,92908.986,1458.8
730,81661.17,995.8
731,89451.846,2956.4
732,87332.421,1020.8
733,80131.881,1484.8
734,95638.365,1016.8
735,52614.588,3794.4
736,64137.654,3050.2
737,55171.11,1239
738,48058.65,5034.2
739,48028.923,5293.8
740,33889.881,4555.6
741,82169.832,3038.2
742,61159.449,5677
743,72598.839,5690
744,114358.668,3885
745,90415.221,955.4
746,35908.014,1889.4
747,121081.374,3
748,0,61.4
749,0,28
750,72145.227,1278.6
751,80900.379,1142
752,61322.397,2708.6
753,32588.499,644.6
754,24120.708,1892.4
755,23514.057,1883.6
756,28771.332,1076.4
757,24488.442,2460.4
758,28136.055,1430
759,34091.364,529.8
760,55024.677,238.8
761,19306.035,2030.6
762,39524.799,2100
763,28663.434,2085.2
764,29609.193,1873.6
765,31173.714,1657.4
766,66182.211,636
767,29445.144,2641.8
768,23355.513,2362.2
769,45103.566,2227
770,29241.459,3644
771,33558.48,1706.4
772,0,20
773,0,36
774,30401.913,1410
775,25523.382,576.8
776,31929,3
777,32708.508,3748.2
778,32879.163,1725.4
779,33924.012,1176.6
780,37653.099,703
781,26275.365,1966.6
782,23737.56,507.8
783,33547.47,1715.4
784,28626,1446
785,30792.768,815.2
786,27785.937,2020
787,29801.868,820
788,29375.781,401.8
789,23179.353,1246.8
790,29117.046,1289.6
791,29382.387,1781.6
792,29612.496,2360.8
793,22191.756,3786.4
794,24643.683,376.8
795,35137.314,1166.2
796,0,0
797,30222.45,1478
798,36894.51,1807.6
799,33595.914,1431.8
800,26924.955,1026
801,45388.725,1280.4
802,44994.567,939
803,31786.971,2680.4
804,22868.871,1763.4
805,36512.463,1828.2
806,41373.378,3244.8
807,0,0
808,33914.103,2702.6
809,34186.05,2252.8
810,32273.613,4735
811,0,51.2
812,40555.335,2789.8
813,34878.579,1311.6
814,26360.142,1910
815,36859.278,2635.6
816,35148.324,3769.2
817,33469.299,2858
818,37220.406,3317
