TAZ,HHNUM,HHSIZE
1329,1511.2,2.794
1330,2097.8,2.646
1331,1309.6,2.836
1332,1389.8,2.966
1333,801.2,2.966
1334,2846.8,2.914
1335,3808.4,2.876
1336,2090.8,2.836
1337,1174.2,2.984
1338,2665.2,2.876
1339,1417,3.116
1340,1819,2.636
1341,1220.2,2.996
1342,2630.4,2.776
1343,2577.2,2.876
1344,1334.8,2.496
1345,1512.2,2.806
1346,2882,2.636
1347,6245.2,2.774
1348,1800,2.606
1349,1367.8,2.686
1350,2684,3.366
1351,1205.6,3.024
1352,1302.2,3.754
1353,1371.6,3.644
1354,1007.4,4.044
1355,1010.6,3.794
1356,1365.6,3.674
1357,1281.2,3.724
1358,1354.4,4.094
1359,2290.6,2.996
1360,1452,3.124
1361,1137.2,3.066
1362,2018.2,2.556
1363,1940.8,4.092
1364,1229.8,3.974
1365,1435.8,4.042
1366,1495.2,3.444
1367,1755.8,3.244
1368,1399.6,3.336
1369,1424,3.246
1370,923,3.294
1371,1967.8,3.354
1372,1292,3.884
1373,1494.2,4.044
1374,1856.2,3.624
1375,2138.2,2.646
1376,2930,2.896
1377,2798.4,2.914
1378,2405.4,2.816
1379,933.2,3.894
1380,1462,3.054
1381,2257.4,2.656
1382,1903,2.526
1383,667.2,2.416
1384,2922.2,2.276
1385,2432.8,2.974
1386,741.8,1.446
1387,40.2,2.946
1388,2727,2.436
1389,742.6,3.334
1390,1604.2,2.098
1391,3411.4,1.878
1392,4464.2,1.876
1393,6316.6,1.878
1394,1617.2,2.586
1395,4231.8,2.146
1396,3940.8,2.186
1397,2398.2,2.796
1398,1533.6,2.976
1399,2837,2.786
1400,4654.8,2.734
1401,3144.8,2.766
1402,3235.2,2.944
1403,2654.2,2.776
1404,1357.2,2.526
1405,1913.2,3.104
1406,2368,2.724
1407,1085.2,3.066
1408,3117,2.766
1409,2109.2,2.676
1410,2891,2.676
1411,1085.2,2.864
1412,845.2,2.936
1413,1278,2.746
1414,2095,2.876
1415,1598,3.184
1416,887.4,2.876
1417,1596,2.796
1418,3218.2,2.426
1419,3118,2.336
1420,1093.2,3.216
1421,1328,2.884
1422,1261.8,3.314
1423,1602,2.656
1424,1900.2,2.886
1425,1085.2,3.486
1426,2015.6,2.656
1427,1649.2,3.374
1428,1629.4,2.636
1429,3183.4,2.028
1430,2641.4,2.536
1431,1447.8,2.236
1432,2228.6,2.466
1433,1107.4,2.536
1434,3029.8,2.536
1435,1961.8,2.336
1436,1137.4,2.046
1437,3950.4,2.556
1438,2054.2,2.516
1439,2107.2,2.966
1440,2063.8,2.816
1441,3035.8,2.786
1442,1859.2,2.734
1443,2089.2,2.936
1444,2266.8,2.816
1445,2536.8,2.626
1446,1530.8,2.446
1447,2181.6,2.844
1448,6117.8,2.426
1449,2305,2.656
1450,2838,2.716
1451,1710.6,3.206
1452,1379.4,2.496
1453,3846,2.246
1454,2089.2,2.886
1455,1183.2,2.696
1456,457,2.836
1457,1772.8,2.786
1458,2993,2.636
1459,1016.4,2.696
1460,4313.6,2.596
1461,395.8,2.656
1462,2032.8,2.686
1463,1938.4,2.874
1464,3240,2.776
1465,2024.8,2.916
1466,2285,2.476
1467,2362.2,2.916
1468,1010.2,2.806
1469,2276,2.596
1470,1946.8,2.736
1471,2796.6,2.556
1472,942.8,2.966
1473,1725,2.526
1474,2000.2,2.776
1475,1155.6,2.756
1476,1185.8,2.696
1477,1873.6,2.736
1478,1456,2.736
1479,640.6,2.924
1480,1670.8,2.856
1481,1965,2.826
1482,1128.6,3.086
1483,3429,2.774
1484,1353.6,2.834
1485,2897.8,2.886
1486,1106.4,2.796
1487,2041.4,3.106
1488,1406.8,3.174
1489,1460,2.666
1490,1634.8,2.924
1491,1961.8,2.736
1492,1047.2,2.536
1493,1943.8,2.566
1494,2292.4,2.596
1495,1777.4,2.516
1496,1477,2.676
1497,6042,2.606
1498,1948,2.786
1499,102.2,1.688
1500,5393.6,2.626
1501,2849.8,2.706
1502,0,0
1503,2894.8,2.746
1504,1662.4,2.656
1505,1487.2,3.174
1506,1120.2,2.964
1507,1175.2,2.856
1508,1696.6,3.364
1509,617.6,3.206
1510,1628.6,3.334
1511,948.6,3.464
1512,1605.4,2.366
1513,1625.4,2.924
1514,1337.6,2.386
1515,1375.8,2.954
1516,1643.6,2.786
1517,2254.2,2.576
1518,0,0
1519,2325.2,2.776
1520,567,2.906
1521,0,0
1522,2498.8,3.034
1523,1142,3.014
1524,2485.8,3.064
1525,2357.4,2.936
1526,1605.4,3.136
1527,1582.2,3.046
1528,1264.4,2.486
1529,1407.8,2.974
1530,2093.6,2.626
1531,2704.4,2.826
1532,1982.4,2.796
1533,2129.8,2.746
1534,1923.2,3.066
1535,1937.2,3.134
1536,5314.6,3.004
1537,1751.8,3.006
1538,2883,2.796
1539,2185.8,2.32
1540,2114,2.926
1541,2631.8,2.528
1542,1148.8,2.996
1543,736,2.578
1544,1164,2.33
1545,1999,2.668
1546,975.2,2.062
1547,1175.2,2.32
1548,1122.6,2.728
1549,1349.8,3.006
1550,1781,2.976
1551,1171.2,2.698
1552,1596.2,3.364
1553,944.8,2.928
1554,970.2,3.126
1555,1453.8,2.418
1556,1744.4,3.474
1557,357.4,3.386
1558,1389.2,3.396
1559,973.2,2.856
1560,2488.6,3.196
1561,2556.2,3.196
1562,1032.8,3.224
1563,480.6,2.816
1564,3786.8,3.076
1565,2159.4,2.736
1566,2054.4,2.668
1567,1967.6,2.856
1568,2713.6,2.648
1569,705.6,1.93
1570,1380,3.066
1571,479.4,3.304
1572,1620.2,3.324
1573,4491.6,2.976
1574,492.2,1.922
1575,1927.2,2.996
1576,1234.8,1.91
1577,1841.6,2.738
1578,992,3.026
1579,5002,2.838
1580,1506.4,2.5
1581,1218.6,3.036
1582,112.8,1.304
1583,1701,3.026
1584,2275,2.996
1585,951.6,2.696
1586,372.6,2.958
1587,2069.6,2.906
1588,1475.2,2.648
1589,1544.8,2.448
1590,1364.6,2.578
1591,1493.4,2.698
1592,1269,2.828
1593,1722,2.768
1594,4320.6,2.896
1595,2880,2.188
1596,918.4,2.798
1597,574,2.668
1598,2799.6,2.928
1599,4395.8,2.818
1600,1539.8,2.816
1601,3656.2,2.578
1602,0,0
1603,2673.6,2.478
1604,1455.2,2.658
1605,2151,2.618
1606,2428.6,2.788
1607,3795.2,2.806
1608,3993.6,2.668
1609,2463,2.658
1610,1194.2,2.886
1611,1720.2,2.928
1612,5617,2.726
1613,5121.2,2.698
1614,4382.6,2.918
1615,4684.6,2.856
1616,3248,2.866
1617,4247.2,2.876
1618,1685.2,2.908
1619,3681.2,2.866
1620,2177,2.926
1621,2738.8,2.896
1622,1653.8,2.678
